# Copyright 2024 Collabora Ltd.
# SPDX-License-Identifier: MIT

# Columns:
#   name: PIPE_FORMAT enum
#   czt: Color/Z target format if renderable or NONE
#   tcs: TIC component sizes
#   type: Data type:
#       S: SNORM
#       N: UNORM
#       I: SINT
#       U: UINT
#       F: FLOAT
#   src: Swizzle of the form RGBAX01
#   caps: Format capabilities:
#       C: Color target
#       T: Texture
#       Z: Depth/stencil target
#       B: Bufer
#       A: Alpha blend
#       S: Storage
#       D: Scanout
#   hw: First hardware generation on which the format

# name                    czt                     tcs                 type   src    support     hw

R1_UNORM                , NONE                  , R1                , N    , R001 , T

A4B4G4R4_UNORM          , NONE                  , A4B4G4R4          , NNNN , ABGR , T
A4R4G4B4_UNORM          , NONE                  , A4B4G4R4          , NNNN , GBAR , T
B4G4R4A4_UNORM          , NONE                  , A4B4G4R4          , NNNN , BGRA , T
B4G4R4X4_UNORM          , NONE                  , A4B4G4R4          , NNNN , BGR1 , T
R4G4B4A4_UNORM          , NONE                  , A4B4G4R4          , NNNN , RGBA , T
R4G4B4X4_UNORM          , NONE                  , A4B4G4R4          , NNNN , RGB1 , T

B5G6R5_UNORM            , R5G6B5                , B5G6R5            , NNN  , BGR1 , CTAD
R5G6B5_UNORM            , NONE                  , B5G6R5            , NNN  , RGB1 , T
R5G5B5A1_UNORM          , NONE                  , A1B5G5R5          , NNNN , RGBA , T
B5G5R5A1_UNORM          , A1R5G5B5              , A1B5G5R5          , NNNN , BGRA , CTAD
B5G5R5X1_UNORM          , X1R5G5B5              , A1B5G5R5          , NNNN , BGR1 , CTAD

R8_UNORM                , R8                    , R8                , N    , R001 , CTBSA
R8_SNORM                , RN8                   , R8                , S    , R001 , CTBSA
R8_SINT                 , RS8                   , R8                , I    , R001 , CTBS
R8_UINT                 , RU8                   , R8                , U    , R001 , CTBS
R8_SRGB                 , NONE                  , R8                , N    , R001 , T

R8G8_UNORM              , G8R8                  , G8R8              , NN   , RG01 , CTBSA
R8G8_SNORM              , GN8RN8                , G8R8              , SS   , RG01 , CTBSA
R8G8_SINT               , GS8RS8                , G8R8              , II   , RG01 , CTBS
R8G8_UINT               , GU8RU8                , G8R8              , UU   , RG01 , CTBS
# On Fermi+, the green component doesn't get decoding?
# R8G8_SRGB             , NONE                  , G8R8              , NN   , RG01 , T

# BGRA display formats
